review_text,rating,sentiment,reviewer_name,date,hotel_name,original_text,original_length,original_word_count,cleaned_text,cleaned_length,cleaned_word_count,length_reduction,word_reduction,review_length,word_count,avg_word_length,sentence_count,exclamation_count,question_count,uppercase_count,uppercase_ratio,cluster,cluster_name
The best hotel I've ever stayed at. Everything was perfect from check-in to check-out. Would visit again.,5,positive,Sarah M.,2020-12-27,City Center Suites,The best hotel I've ever stayed at. Everything was perfect from check-in to check-out. Would visit again.,105,17,best hotel ever stay everyth perfect check check would visit,60,10,45,7,105,17,5.833333333333333,4,0,0,4,0.03773584905660377,3,Service & Staff Quality
Decent place to stay. The room was comfortable enough.,3,neutral,Brian M.,2020-09-11,Mountain View Inn,Decent place to stay. The room was comfortable enough.,54,9,decent place stay room comfort enough,37,6,17,3,54,9,5.4,3,0,0,2,0.03636363636363636,1,Cleanliness & Room Quality
" Overall, average experience. the service was fine but nothing special.",3,neutral,John D.,2022-02-21,City Center Suites," Overall, average experience. the service was fine but nothing special.",71,10,overal averag experi servic fine noth special,45,7,26,3,71,10,6.454545454545454,3,0,0,1,0.013888888888888888,3,Service & Staff Quality
Great value for money! The room was spacious and modern. Staff were very friendly. A bit pricey.,5,positive,Amanda C.,2022-01-07,City Center Suites,Great value for money! The room was spacious and modern. Staff were very friendly. A bit pricey.,96,17,great valu money room spacious modern staff friend bit pricey,61,10,35,7,96,17,5.333333333333333,5,1,0,4,0.041237113402061855,3,Service & Staff Quality
" Considering everything, amazing experience! clean rooms, helpful staff, and delicious breakfast.",5,positive,Ashley D.,2020-03-14,Mountain View Inn," Considering everything, amazing experience! clean rooms, helpful staff, and delicious breakfast.",97,11,consid everyth amaz experi clean room help staff delici breakfast,65,10,32,1,97,11,8.083333333333334,3,1,0,1,0.01020408163265306,4,Room & Comfort
"Perfect location, beautiful views, and exceptional service. Highly recommended!",5,positive,Jennifer L.,2023-10-04,Royal Palace Hotel,"Perfect location, beautiful views, and exceptional service. Highly recommended!",79,9,perfect locat beauti view except servic high recommend,54,8,25,1,79,9,7.9,3,1,0,2,0.025,2,"Topic: beauti, perfect, servic"
Excellent hotel with great amenities. The spa treatment was wonderful.,4,positive,Laura B.,2024-01-05,Sunset Beach Hotel,Excellent hotel with great amenities. The spa treatment was wonderful.,70,10,excel hotel great amen spa treatment wonder,43,7,27,3,70,10,6.363636363636363,3,0,0,2,0.028169014084507043,3,Service & Staff Quality
"Amazing experience! Clean rooms, helpful staff, and delicious breakfast.",5,positive,Lisa P.,2024-04-13,Luxury Stay Hotel,"Amazing experience! Clean rooms, helpful staff, and delicious breakfast.",72,9,amaz experi clean room help staff delici breakfast,50,8,22,1,72,9,7.2,3,1,0,2,0.0273972602739726,4,Room & Comfort
"Awful experience. The pool was dirty, the gym was broken, and no refunds.",2,negative,Emily R.,2024-10-21,Harbor View Hotel,"Awful experience. The pool was dirty, the gym was broken, and no refunds.",73,13,aw experi pool dirti gym broken refund,38,7,35,6,73,13,5.214285714285714,3,0,0,2,0.02702702702702703,3,Service & Staff Quality
Great for families but not ideal for business travelers. Slow wifi.,3,neutral,Robert H.,2021-07-09,Budget Inn Express,Great for families but not ideal for business travelers. Slow wifi.,67,11,great famili ideal busi travel slow wifi,40,7,27,4,67,11,5.583333333333333,3,0,0,2,0.029411764705882353,3,Service & Staff Quality
Beautiful hotel in a great location. The rooftop bar had amazing views.,5,positive,Laura B.,2020-04-18,Seaside Resort,Beautiful hotel in a great location. The rooftop bar had amazing views.,71,12,beauti hotel great locat rooftop bar amaz view,46,8,25,4,71,12,5.461538461538462,3,0,0,2,0.027777777777777776,3,Service & Staff Quality
"Complete waste of money. The room was tiny, dirty, and the breakfast was awful.",1,negative,Brian M.,2021-09-13,Crystal Palace Hotel,"Complete waste of money. The room was tiny, dirty, and the breakfast was awful.",79,14,complet wast money room tini dirti breakfast aw,47,8,32,6,79,14,5.266666666666667,3,0,0,2,0.025,3,Service & Staff Quality
Great amenities but the room was small and cramped.,4,positive,Rachel G.,2023-04-08,Park View Hotel,Great amenities but the room was small and cramped.,51,9,great amen room small cramp,27,5,24,4,51,9,5.1,2,0,0,1,0.019230769230769232,3,Service & Staff Quality
Decent hotel in a convenient location. The room was okay but could be cleaner.,3,neutral,Rachel G.,2020-03-27,Ocean Breeze Resort,Decent hotel in a convenient location. The room was okay but could be cleaner.,78,14,decent hotel conveni locat room okay could cleaner,50,8,28,6,78,14,5.2,3,0,0,2,0.02531645569620253,3,Service & Staff Quality
Excellent breakfast but the room was overpriced for what it offered.,3,neutral,Jennifer L.,2023-04-28,Harbor View Hotel,Excellent breakfast but the room was overpriced for what it offered.,68,11,excel breakfast room overpr offer,33,5,35,6,68,11,5.666666666666667,2,0,0,1,0.014492753623188406,3,Service & Staff Quality
"The room was spotless, the bed was comfortable, and the staff was incredibly helpful.",5,positive,Megan R.,2024-10-19,Mountain View Inn,"The room was spotless, the bed was comfortable, and the staff was incredibly helpful.",85,14,room spotless bed comfort staff incred help,43,7,42,7,85,14,5.666666666666667,2,0,0,1,0.011627906976744186,4,Room & Comfort
The hotel was fine for the price. Some areas need updating.,3,neutral,Kevin J.,2024-11-12,Harbor View Hotel,The hotel was fine for the price. Some areas need updating.,59,11,hotel fine price area need updat,32,6,27,5,59,11,4.916666666666667,3,0,0,2,0.03333333333333333,3,Service & Staff Quality
The best hotel I've ever stayed at. Everything was perfect from check-in to check-out. Could be better.,5,positive,Brian M.,2024-06-26,Royal Palace Hotel,The best hotel I've ever stayed at. Everything was perfect from check-in to check-out. Could be better.,103,17,best hotel ever stay everyth perfect check check could better,61,10,42,7,103,17,5.722222222222222,4,0,0,4,0.038461538461538464,3,Service & Staff Quality
"The room was spotless, the bed was comfortable, and the staff was incredibly helpful.",4,positive,Emily R.,2021-07-06,Downtown Lodge,"The room was spotless, the bed was comfortable, and the staff was incredibly helpful.",85,14,room spotless bed comfort staff incred help,43,7,42,7,85,14,5.666666666666667,2,0,0,1,0.011627906976744186,4,Room & Comfort
" Overall, the hotel was absolutely amazing! great service, friendly staff, and perfect location.",5,positive,Sarah M.,2020-12-05,Royal Palace Hotel," Overall, the hotel was absolutely amazing! great service, friendly staff, and perfect location.",96,13,overal hotel absolut amaz great servic friend staff perfect locat,65,10,31,3,96,13,6.857142857142857,3,1,0,1,0.010309278350515464,3,Service & Staff Quality
Perfect getaway! The hotel exceeded all expectations. Will recommend to friends.,5,positive,Robert H.,2021-04-08,Sunset Beach Hotel,Perfect getaway! The hotel exceeded all expectations. Will recommend to friends.,80,11,perfect getaway hotel exceed expect recommend friend,52,7,28,4,80,11,6.666666666666667,4,1,0,3,0.037037037037037035,0,"Topic: getaway, exceed, expect"
Fantastic service and beautiful rooms. The location was perfect for sightseeing.,5,positive,John D.,2024-07-06,Royal Palace Hotel,Fantastic service and beautiful rooms. The location was perfect for sightseeing.,80,11,fantast servic beauti room locat perfect sightse,48,7,32,4,80,11,6.666666666666667,3,0,0,2,0.024691358024691357,2,"Topic: beauti, perfect, servic"
Very clean and well-maintained hotel. The location was ideal for our trip.,4,positive,Michael B.,2024-12-24,Harbor View Hotel,Very clean and well-maintained hotel. The location was ideal for our trip.,74,12,clean well maintain hotel locat ideal trip,42,7,32,5,74,12,5.6923076923076925,3,0,0,2,0.02666666666666667,1,Cleanliness & Room Quality
The service was impeccable. The staff remembered our preferences from our last stay.,5,positive,Jennifer L.,2022-03-18,Royal Palace Hotel,The service was impeccable. The staff remembered our preferences from our last stay.,84,13,servic impecc staff rememb prefer last stay,43,7,41,6,84,13,6.0,3,0,0,2,0.023529411764705882,3,Service & Staff Quality
The hotel was fine for the price. Some areas need updating.,3,neutral,Nicole S.,2024-12-06,Downtown Lodge,The hotel was fine for the price. Some areas need updating.,59,11,hotel fine price area need updat,32,6,27,5,59,11,4.916666666666667,3,0,0,2,0.03333333333333333,3,Service & Staff Quality
" Overall, excellent stay! the room was clean, comfortable, and well-equipped. will definitely come back.",5,positive,David K.,2024-04-02,Crystal Palace Hotel," Overall, excellent stay! the room was clean, comfortable, and well-equipped. will definitely come back.",104,14,overal excel stay room clean comfort well equip definit come back,65,11,39,3,104,14,6.933333333333334,4,1,0,1,0.009523809523809525,1,Cleanliness & Room Quality
Very disappointed. The room was not as described and the bathroom was filthy. Worth the money.,2,negative,Emily R.,2022-04-26,Park View Hotel,Very disappointed. The room was not as described and the bathroom was filthy. Worth the money.,94,16,disappoint room describ bathroom filthi worth money,51,7,43,9,94,16,5.529411764705882,4,0,0,3,0.031578947368421054,3,Service & Staff Quality
An average experience. The price was fair for what we got.,3,neutral,Jennifer L.,2022-07-18,Downtown Lodge,An average experience. The price was fair for what we got.,58,11,averag experi price fair got,28,5,30,6,58,11,4.833333333333333,3,0,0,2,0.03389830508474576,3,Service & Staff Quality
Decent place to stay. The room was comfortable enough.,3,neutral,Laura B.,2022-02-06,Luxury Stay Hotel,Decent place to stay. The room was comfortable enough.,54,9,decent place stay room comfort enough,37,6,17,3,54,9,5.4,3,0,0,2,0.03636363636363636,1,Cleanliness & Room Quality
"Excellent stay! The room was clean, comfortable, and well-equipped. Will definitely come back. Will come back.",5,positive,Lisa P.,2023-05-26,Budget Inn Express,"Excellent stay! The room was clean, comfortable, and well-equipped. Will definitely come back. Will come back.",110,16,excel stay room clean comfort well equip definit come back come back,68,12,42,4,110,16,6.470588235294118,5,1,0,4,0.036036036036036036,1,Cleanliness & Room Quality
"The hotel was absolutely amazing! Great service, friendly staff, and perfect location.",5,positive,John D.,2021-05-08,Luxury Stay Hotel,"The hotel was absolutely amazing! Great service, friendly staff, and perfect location.",86,12,hotel absolut amaz great servic friend staff perfect locat,58,9,28,3,86,12,6.615384615384615,3,1,0,2,0.022988505747126436,3,Service & Staff Quality
Amazing pool and facilities but the room was not soundproofed.,3,neutral,Emily R.,2022-02-20,Downtown Lodge,Amazing pool and facilities but the room was not soundproofed.,62,10,amaz pool facil room soundproof,31,5,31,5,62,10,5.636363636363637,2,0,0,1,0.015873015873015872,3,Service & Staff Quality
Wonderful hotel with great facilities. The pool and gym were excellent.,5,positive,Brian M.,2020-12-26,Park View Hotel,Wonderful hotel with great facilities. The pool and gym were excellent.,71,11,wonder hotel great facil pool gym excel,39,7,32,4,71,11,5.916666666666667,3,0,0,2,0.027777777777777776,3,Service & Staff Quality
"Amazing experience! Clean rooms, helpful staff, and delicious breakfast. Worth the money.",4,positive,Megan R.,2020-02-20,Seaside Resort,"Amazing experience! Clean rooms, helpful staff, and delicious breakfast. Worth the money.",89,12,amaz experi clean room help staff delici breakfast worth money,62,10,27,2,89,12,6.846153846153846,4,1,0,3,0.03333333333333333,4,Room & Comfort
"Terrible location, noisy throughout the night. Would not stay here again.",2,negative,James W.,2022-09-06,Royal Palace Hotel,"Terrible location, noisy throughout the night. Would not stay here again.",73,11,terribl locat noisi throughout night would stay,47,7,26,4,73,11,6.083333333333333,3,0,0,2,0.02702702702702703,1,Cleanliness & Room Quality
" I would say perfect location, beautiful views, and exceptional service. highly recommended!",4,positive,Megan R.,2022-04-24,Luxury Stay Hotel," I would say perfect location, beautiful views, and exceptional service. highly recommended!",92,12,would say perfect locat beauti view except servic high recommend,64,10,28,2,92,12,7.076923076923077,3,1,0,1,0.010752688172043012,2,"Topic: beauti, perfect, servic"
 I must say fantastic service and beautiful rooms. the location was perfect for sightseeing.,5,positive,James W.,2022-02-16,Park View Hotel, I must say fantastic service and beautiful rooms. the location was perfect for sightseeing.,92,14,must say fantast servic beauti room locat perfect sightse,57,9,35,5,92,14,6.133333333333334,3,0,0,1,0.010752688172043012,2,"Topic: beauti, perfect, servic"
Very clean and well-maintained hotel. The location was ideal for our trip.,5,positive,Jennifer L.,2022-03-04,Seaside Resort,Very clean and well-maintained hotel. The location was ideal for our trip.,74,12,clean well maintain hotel locat ideal trip,42,7,32,5,74,12,5.6923076923076925,3,0,0,2,0.02666666666666667,1,Cleanliness & Room Quality
The service was impeccable. The staff remembered our preferences from our last stay.,5,positive,Kevin J.,2021-09-18,Downtown Lodge,The service was impeccable. The staff remembered our preferences from our last stay.,84,13,servic impecc staff rememb prefer last stay,43,7,41,6,84,13,6.0,3,0,0,2,0.023529411764705882,3,Service & Staff Quality
"The worst hotel experience ever. Mold in bathroom, broken furniture, awful smell.",2,negative,James W.,2024-06-02,Park View Hotel,"The worst hotel experience ever. Mold in bathroom, broken furniture, awful smell.",81,12,worst hotel experi ever mold bathroom broken furnitur aw smell,62,10,19,2,81,12,6.230769230769231,3,0,0,2,0.024390243902439025,3,Service & Staff Quality
"Horrible stay. Noisy, dirty, and the staff was extremely rude.",2,negative,Lisa P.,2022-08-09,Royal Palace Hotel,"Horrible stay. Noisy, dirty, and the staff was extremely rude.",62,10,horribl stay noisi dirti staff extrem rude,42,7,20,3,62,10,5.636363636363637,3,0,0,2,0.031746031746031744,3,Service & Staff Quality
Wonderful hotel with great facilities. The pool and gym were excellent.,4,positive,Robert H.,2021-12-02,Seaside Resort,Wonderful hotel with great facilities. The pool and gym were excellent.,71,11,wonder hotel great facil pool gym excel,39,7,32,4,71,11,5.916666666666667,3,0,0,2,0.027777777777777776,3,Service & Staff Quality
" Considering everything, an average experience. the price was fair for what we got.",3,neutral,Kevin J.,2024-04-13,Budget Inn Express," Considering everything, an average experience. the price was fair for what we got.",83,13,consid everyth averag experi price fair got,43,7,40,6,83,13,5.928571428571429,3,0,0,1,0.011904761904761904,3,Service & Staff Quality
Fantastic service and beautiful rooms. The location was perfect for sightseeing.,5,positive,Chris T.,2024-01-08,Royal Palace Hotel,Fantastic service and beautiful rooms. The location was perfect for sightseeing.,80,11,fantast servic beauti room locat perfect sightse,48,7,32,4,80,11,6.666666666666667,3,0,0,2,0.024691358024691357,2,"Topic: beauti, perfect, servic"
The best hotel I've ever stayed at. Everything was perfect from check-in to check-out.,5,positive,Ashley D.,2023-06-23,City Center Suites,The best hotel I've ever stayed at. Everything was perfect from check-in to check-out.,86,14,best hotel ever stay everyth perfect check check,48,8,38,6,86,14,5.733333333333333,3,0,0,3,0.034482758620689655,3,Service & Staff Quality
"Disgusting! Hair in the bed, stained sheets, and rude management.",2,negative,Robert H.,2022-05-15,Mountain View Inn,"Disgusting! Hair in the bed, stained sheets, and rude management.",65,10,disgust hair bed stain sheet rude manag,39,7,26,3,65,10,5.909090909090909,3,1,0,2,0.030303030303030304,3,Service & Staff Quality
The room was clean but small. The location was convenient. A bit pricey.,3,neutral,Laura B.,2021-11-20,Mountain View Inn,The room was clean but small. The location was convenient. A bit pricey.,72,13,room clean small locat conveni bit pricey,41,7,31,6,72,13,5.142857142857143,4,0,0,3,0.0410958904109589,1,Cleanliness & Room Quality
"Horrible stay. Noisy, dirty, and the staff was extremely rude. Worth the money.",1,negative,Sarah M.,2020-07-22,Luxury Stay Hotel,"Horrible stay. Noisy, dirty, and the staff was extremely rude. Worth the money.",79,13,horribl stay noisi dirti staff extrem rude worth money,54,9,25,4,79,13,5.642857142857143,4,0,0,3,0.0375,3,Service & Staff Quality
The hotel was fine for the price. Some areas need updating.,3,neutral,Megan R.,2020-03-20,Crystal Palace Hotel,The hotel was fine for the price. Some areas need updating.,59,11,hotel fine price area need updat,32,6,27,5,59,11,4.916666666666667,3,0,0,2,0.03333333333333333,3,Service & Staff Quality
"The room was spotless, the bed was comfortable, and the staff was incredibly helpful. Would visit again.",5,positive,David K.,2020-03-01,City Center Suites,"The room was spotless, the bed was comfortable, and the staff was incredibly helpful. Would visit again.",104,17,room spotless bed comfort staff incred help would visit,55,9,49,8,104,17,5.777777777777778,3,0,0,2,0.01904761904761905,4,Room & Comfort
The hotel met our basic needs. The staff was polite but not memorable.,3,neutral,Nicole S.,2024-10-05,Budget Inn Express,The hotel met our basic needs. The staff was polite but not memorable.,70,13,hotel met basic need staff polit memor,38,7,32,6,70,13,5.0,3,0,0,2,0.028169014084507043,3,Service & Staff Quality
Fantastic service and beautiful rooms. The location was perfect for sightseeing.,5,positive,Daniel F.,2024-11-24,Grand Plaza Hotel,Fantastic service and beautiful rooms. The location was perfect for sightseeing.,80,11,fantast servic beauti room locat perfect sightse,48,7,32,4,80,11,6.666666666666667,3,0,0,2,0.024691358024691357,2,"Topic: beauti, perfect, servic"
"Horrible stay. Noisy, dirty, and the staff was extremely rude.",1,negative,Sarah M.,2023-11-07,City Center Suites,"Horrible stay. Noisy, dirty, and the staff was extremely rude.",62,10,horribl stay noisi dirti staff extrem rude,42,7,20,3,62,10,5.636363636363637,3,0,0,2,0.031746031746031744,3,Service & Staff Quality
" All things considered, standard accommodation. the wifi was slow but the bed was comfortable.",3,neutral,Amanda C.,2020-01-04,Royal Palace Hotel," All things considered, standard accommodation. the wifi was slow but the bed was comfortable.",94,14,thing consid standard accommod wifi slow bed comfort,52,8,42,6,94,14,6.266666666666667,3,0,0,1,0.010526315789473684,4,Room & Comfort
"Friendly staff and good breakfast, but the bed was uncomfortable.",4,positive,Jennifer L.,2024-10-20,Golden Star Hotel,"Friendly staff and good breakfast, but the bed was uncomfortable.",65,10,friend staff good breakfast bed uncomfort,41,6,24,4,65,10,5.909090909090909,2,0,0,1,0.015151515151515152,3,Service & Staff Quality
"Friendly staff and good breakfast, but the bed was uncomfortable.",4,positive,Brian M.,2021-05-23,Harbor View Hotel,"Friendly staff and good breakfast, but the bed was uncomfortable.",65,10,friend staff good breakfast bed uncomfort,41,6,24,4,65,10,5.909090909090909,2,0,0,1,0.015151515151515152,3,Service & Staff Quality
"Amazing experience! Clean rooms, helpful staff, and delicious breakfast.",5,positive,Brian M.,2024-12-01,Downtown Lodge,"Amazing experience! Clean rooms, helpful staff, and delicious breakfast.",72,9,amaz experi clean room help staff delici breakfast,50,8,22,1,72,9,7.2,3,1,0,2,0.0273972602739726,4,Room & Comfort
"The worst hotel experience ever. Mold in bathroom, broken furniture, awful smell.",1,negative,Laura B.,2022-10-27,Budget Inn Express,"The worst hotel experience ever. Mold in bathroom, broken furniture, awful smell.",81,12,worst hotel experi ever mold bathroom broken furnitur aw smell,62,10,19,2,81,12,6.230769230769231,3,0,0,2,0.024390243902439025,3,Service & Staff Quality
The service was impeccable. The staff remembered our preferences from our last stay.,5,positive,Chris T.,2020-07-03,Mountain View Inn,The service was impeccable. The staff remembered our preferences from our last stay.,84,13,servic impecc staff rememb prefer last stay,43,7,41,6,84,13,6.0,3,0,0,2,0.023529411764705882,3,Service & Staff Quality
Average hotel with basic facilities. The location was good. Not bad.,3,neutral,Jennifer L.,2023-11-14,Royal Palace Hotel,Average hotel with basic facilities. The location was good. Not bad.,68,11,averag hotel basic facil locat good bad,39,7,29,4,68,11,5.666666666666667,4,0,0,3,0.043478260869565216,3,Service & Staff Quality
The hotel met our basic needs. The staff was polite but not memorable.,3,neutral,Ashley D.,2021-02-03,Mountain View Inn,The hotel met our basic needs. The staff was polite but not memorable.,70,13,hotel met basic need staff polit memor,38,7,32,6,70,13,5.0,3,0,0,2,0.028169014084507043,3,Service & Staff Quality
Beautiful hotel in a great location. The rooftop bar had amazing views.,5,positive,Jennifer L.,2023-06-12,Harbor View Hotel,Beautiful hotel in a great location. The rooftop bar had amazing views.,71,12,beauti hotel great locat rooftop bar amaz view,46,8,25,4,71,12,5.461538461538462,3,0,0,2,0.027777777777777776,3,Service & Staff Quality
Average experience. The service was fine but nothing special.,3,neutral,Michael B.,2021-12-23,Mountain View Inn,Average experience. The service was fine but nothing special.,61,9,averag experi servic fine noth special,38,6,23,3,61,9,6.1,3,0,0,2,0.03225806451612903,3,Service & Staff Quality
The room was clean but small. The location was convenient.,3,neutral,John D.,2023-08-13,Mountain View Inn,The room was clean but small. The location was convenient.,58,10,room clean small locat conveni,30,5,28,5,58,10,5.2727272727272725,3,0,0,2,0.03389830508474576,1,Cleanliness & Room Quality
Very clean and well-maintained hotel. The location was ideal for our trip.,5,positive,Lisa P.,2024-11-14,Seaside Resort,Very clean and well-maintained hotel. The location was ideal for our trip.,74,12,clean well maintain hotel locat ideal trip,42,7,32,5,74,12,5.6923076923076925,3,0,0,2,0.02666666666666667,1,Cleanliness & Room Quality
" Considering everything, outstanding experience! the staff went above and beyond. great breakfast and amenities.",4,positive,Lisa P.,2022-05-26,City Center Suites," Considering everything, outstanding experience! the staff went above and beyond. great breakfast and amenities.",112,14,consid everyth outstand experi staff went beyond great breakfast amen,69,10,43,4,112,14,7.466666666666667,4,1,0,1,0.008849557522123894,3,Service & Staff Quality
The hotel was not as advertised. Misleading photos and rude staff.,1,negative,Brian M.,2022-01-26,Luxury Stay Hotel,The hotel was not as advertised. Misleading photos and rude staff.,66,11,hotel advertis mislead photo rude staff,39,6,27,5,66,11,5.5,3,0,0,2,0.029850746268656716,3,Service & Staff Quality
The best hotel I've ever stayed at. Everything was perfect from check-in to check-out.,4,positive,Lisa P.,2022-06-02,Grand Plaza Hotel,The best hotel I've ever stayed at. Everything was perfect from check-in to check-out.,86,14,best hotel ever stay everyth perfect check check,48,8,38,6,86,14,5.733333333333333,3,0,0,3,0.034482758620689655,3,Service & Staff Quality
Fantastic service and beautiful rooms. The location was perfect for sightseeing.,4,positive,Brian M.,2020-04-28,Grand Plaza Hotel,Fantastic service and beautiful rooms. The location was perfect for sightseeing.,80,11,fantast servic beauti room locat perfect sightse,48,7,32,4,80,11,6.666666666666667,3,0,0,2,0.024691358024691357,2,"Topic: beauti, perfect, servic"
 I would say beautiful hotel but terrible service. the staff was rude and unhelpful.,4,positive,Brian M.,2021-09-14,Royal Palace Hotel, I would say beautiful hotel but terrible service. the staff was rude and unhelpful.,84,14,would say beauti hotel terribl servic staff rude unhelp,55,9,29,5,84,14,5.6,3,0,0,1,0.011764705882352941,3,Service & Staff Quality
Beautiful hotel in a great location. The rooftop bar had amazing views.,5,positive,Nicole S.,2020-10-26,Royal Gardens Hotel,Beautiful hotel in a great location. The rooftop bar had amazing views.,71,12,beauti hotel great locat rooftop bar amaz view,46,8,25,4,71,12,5.461538461538462,3,0,0,2,0.027777777777777776,3,Service & Staff Quality
Perfect getaway! The hotel exceeded all expectations. Will recommend to friends.,5,positive,Emily R.,2020-08-25,City Center Suites,Perfect getaway! The hotel exceeded all expectations. Will recommend to friends.,80,11,perfect getaway hotel exceed expect recommend friend,52,7,28,4,80,11,6.666666666666667,4,1,0,3,0.037037037037037035,0,"Topic: getaway, exceed, expect"
" To be honest, standard accommodation. the wifi was slow but the bed was comfortable.",3,neutral,Jennifer L.,2024-01-09,City Center Suites," To be honest, standard accommodation. the wifi was slow but the bed was comfortable.",85,14,honest standard accommod wifi slow bed comfort,46,7,39,7,85,14,5.666666666666667,3,0,0,1,0.011627906976744186,4,Room & Comfort
"The worst hotel experience ever. Mold in bathroom, broken furniture, awful smell.",1,negative,Lisa P.,2024-04-06,Royal Palace Hotel,"The worst hotel experience ever. Mold in bathroom, broken furniture, awful smell.",81,12,worst hotel experi ever mold bathroom broken furnitur aw smell,62,10,19,2,81,12,6.230769230769231,3,0,0,2,0.024390243902439025,3,Service & Staff Quality
The hotel was dirty and outdated. The photos looked nothing like reality.,2,negative,Laura B.,2023-12-09,Downtown Lodge,The hotel was dirty and outdated. The photos looked nothing like reality.,73,12,hotel dirti outdat photo look noth like realiti,47,8,26,4,73,12,5.615384615384615,3,0,0,2,0.02702702702702703,3,Service & Staff Quality
An average experience. The price was fair for what we got. Good value.,3,neutral,Amanda C.,2023-04-26,Royal Palace Hotel,An average experience. The price was fair for what we got. Good value.,70,13,averag experi price fair got good valu,38,7,32,6,70,13,5.0,4,0,0,3,0.04225352112676056,3,Service & Staff Quality
The bathroom was disgusting and the room had bedbugs. Avoid at all costs!,1,negative,Jennifer L.,2020-01-04,Park View Hotel,The bathroom was disgusting and the room had bedbugs. Avoid at all costs!,73,13,bathroom disgust room bedbug avoid cost,39,6,34,7,73,13,5.214285714285714,3,1,0,2,0.02702702702702703,3,Service & Staff Quality
Perfect getaway! The hotel exceeded all expectations. Will recommend to friends.,5,positive,Chris T.,2024-08-10,Royal Gardens Hotel,Perfect getaway! The hotel exceeded all expectations. Will recommend to friends.,80,11,perfect getaway hotel exceed expect recommend friend,52,7,28,4,80,11,6.666666666666667,4,1,0,3,0.037037037037037035,0,"Topic: getaway, exceed, expect"
"The hotel was absolutely amazing! Great service, friendly staff, and perfect location.",4,positive,Chris T.,2022-04-23,Sunset Beach Hotel,"The hotel was absolutely amazing! Great service, friendly staff, and perfect location.",86,12,hotel absolut amaz great servic friend staff perfect locat,58,9,28,3,86,12,6.615384615384615,3,1,0,2,0.022988505747126436,3,Service & Staff Quality
